,Variable Name,Description,Unnamed: 2
0,UniqueID,Identifier for customers,
1,loan_default,Payment default in the first EMI on due date,EMI每月分期付款
2,disbursed_amount,Amount of Loan disbursed,贷款额度
3,asset_cost,Cost of the Asset,车的价格
4,ltv,Loan to Value of the asset,loan/车钱
5,branch_id,Branch where the loan was disbursed,分行
6,supplier_id,Vehicle Dealer where the loan was disbursed,经销商
7,manufacturer_id,"Vehicle manufacturer(Hero, Honda, TVS etc.)",制造商
8,Current_pincode,Current pincode of the customer,zip code
9,Date.of.Birth,Date of birth of the customer,生日
10,Employment.Type,Employment Type of the customer (Salaried/Self Employed),工作类型
11,DisbursalDate,Date of disbursement,付款日期
12,State_ID,State of disbursement,付款地区
13,Employee_code_ID,Employee of the organization who logged the disbursement,雇员ID
14,MobileNo_Avl_Flag,if Mobile no. was shared by the customer then flagged as 1,是否提供手机号
15,Aadhar_flag,if aadhar was shared by the customer then flagged as 1,
16,PAN_flag,if pan was shared by the customer then flagged as 1,
17,VoterID_flag,if voter  was shared by the customer then flagged as 1,
18,Driving_flag,if DL was shared by the customer then flagged as 1,驾照
19,Passport_flag,if passport was shared by the customer then flagged as 1,护照
20,PERFORM_CNS.SCORE,Bureau Score,风险分
21,PERFORM_CNS.SCORE.DESCRIPTION,Bureau score description,风险评价
22,PRI.NO.OF.ACCTS,count of total loans taken by the customer at the time of disbursement,Primary accounts are those which the customer has taken for his personal use
23,PRI.ACTIVE.ACCTS,count of active loans taken by the customer at the time of disbursement,取得有效贷款
24,PRI.OVERDUE.ACCTS,count of default accounts at the time of disbursement,
25,PRI.CURRENT.BALANCE,total Principal outstanding amount of the active loans at the time of disbursement,目前余额
26,PRI.SANCTIONED.AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement,银行批准发放贷款金额
27,PRI.DISBURSED.AMOUNT,total amount that was disbursed for all the loans at the time of disbursement,银行已发放贷款金额
28,SEC.NO.OF.ACCTS,count of total loans taken by the customer at the time of disbursement,Secondary accounts are those which the customer act as a co-applicant or gaurantor
29,SEC.ACTIVE.ACCTS,count of active loans taken by the customer at the time of disbursement,
30,SEC.OVERDUE.ACCTS,count of default accounts at the time of disbursement,
31,SEC.CURRENT.BALANCE,total Principal outstanding amount of the active loans at the time of disbursement,
32,SEC.SANCTIONED.AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement,
33,SEC.DISBURSED.AMOUNT,total amount that was disbursed for all the loans at the time of disbursement,
34,PRIMARY.INSTAL.AMT,EMI Amount of the primary loan,初级贷款每月分期额度
35,SEC.INSTAL.AMT,EMI Amount of the secondary loan,次级贷款每月分期额度
36,NEW.ACCTS.IN.LAST.SIX.MONTHS,New loans taken by the customer in last 6 months before the disbursment,6个月内贷款次数
37,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,Loans defaulted in the last 6 months,6个月内的违约次数
38,AVERAGE.ACCT.AGE,Average loan tenure,平均贷款期限
39,CREDIT.HISTORY.LENGTH,Time since first loan,首次贷款至今时间
40,NO.OF_INQUIRIES,Enquries done by the customer for loans,调查次数
